Day;Weekday;Brutto Weight;Cbm
1;Tuesday;193;1.659
2;Wednesday;2873.2;10.301
3;Thursday;1419.8;5.645
4;Friday;211.6;2.128
5;Saturday;6155.31;37.787
6;Sunday;12577.31;66.655
7;Monday;0;0
8;Tuesday;2932.7;16.587
9;Wednesday;178;1.314
10;Thursday;1304.35;7.947
11;Friday;0;0
12;Saturday;4335.37;20.826
13;Sunday;0;0
14;Monday;1381.41;15.112
15;Tuesday;192.72;1.257
16;Wednesday;0;0
17;Thursday;2252.8;12.562
18;Friday;0;0
19;Saturday;2154.8;7.728
20;Sunday;4078.5;13.587
21;Monday;1770.5;6.279
22;Tuesday;0;0
23;Wednesday;10281.2;44.056
24;Thursday;2319.47;13.542
25;Friday;429;4.013
26;Saturday;3560.03;13.227
27;Sunday;1008.4;15.225
28;Monday;517.72;2.536
29;Tuesday;1351.45;8.328
30;Wednesday;0;0
31;Thursday;0;0
32;Friday;4102.76;16.086
33;Saturday;990.1;7.278
34;Sunday;491;2.266
35;Monday;0;0
36;Tuesday;80;0.96
37;Wednesday;1736.64;7.924
38;Thursday;5808.5;47.707
39;Friday;243.3;1.134
40;Saturday;0;0
41;Sunday;2552.42;13.963
42;Monday;1492.6;7.076
43;Tuesday;409.7;3.865
44;Wednesday;4597.38;25.224
45;Thursday;277.6;1.8
46;Friday;265.1;2.291
47;Saturday;0;0
48;Sunday;3124.57;18.673
49;Monday;945.63;4.32
50;Tuesday;3167.5;21.232
51;Wednesday;197;1.9
52;Thursday;3936.49;23.937
53;Friday;2454.89;11.785
54;Saturday;2497.03;8.957
55;Sunday;295.89;2.301
56;Monday;1201.6;6.107
57;Tuesday;200;0.839
58;Wednesday;74;0.346
59;Thursday;150;0.798
60;Friday;0;0
61;Saturday;2372.05;18.331
62;Sunday;1851.33;8.208
63;Monday;2921.47;18.922
64;Tuesday;2286.2;12.622
65;Wednesday;1769.04;9.634
66;Thursday;307;2.729
67;Friday;334.3;1.488
68;Saturday;1473.2;4.512
69;Sunday;9017;37.655
70;Monday;0;0
71;Tuesday;876.6;3.919
72;Wednesday;1194.9;10.022
73;Thursday;0;0
74;Friday;6875.45;29.267
75;Saturday;0;0
76;Sunday;527.7;3.332
77;Monday;4043.73;18.782
78;Tuesday;366.89;2.78
79;Wednesday;398.8;5.013
80;Thursday;1680;5.28
81;Friday;0;0
82;Saturday;1748.89;5.481
83;Sunday;0;0
84;Monday;0;0
85;Tuesday;3785.02;12.988
86;Wednesday;6757.6;21.822
87;Thursday;1902.32;7.228
88;Friday;3729.1;13.843
89;Saturday;0;0
90;Sunday;7624.16;35.76
91;Monday;7468;32.18